machine_id,date,health_index,rul_days,rul_confidence_pct,vrms_mm_s,temperature_c,score_degradation,crest_factor,kurtosis
M003,2026-03-18,53.2,73,84,5.21,49.7,0.492,4.05,4.79
M003,2026-03-20,52.1,72,86,5.43,50.7,0.491,4.09,4.76
M003,2026-03-22,51.0,72,88,5.39,48.7,0.476,4.15,4.87
M003,2026-03-24,49.6,84,82,5.27,49.2,0.551,4.2,5.21
M003,2026-03-26,49.3,69,61,5.29,49.5,0.556,4.14,4.86
M003,2026-03-28,48.0,79,73,5.71,51.8,0.493,4.19,5.27
M003,2026-03-30,47.0,68,69,6.03,51.0,0.559,3.96,5.37
M004,2026-01-01,67.8,98,80,3.79,43.7,0.285,3.26,3.88
M004,2026-01-03,67.5,105,83,4.11,43.2,0.325,3.48,3.85
M004,2026-01-05,66.3,105,79,4.17,47.0,0.293,3.34,4.13
M004,2026-01-07,65.2,102,88,4.03,43.8,0.359,3.22,4.11
M004,2026-01-09,64.2,103,80,4.3,46.1,0.338,3.44,4.25
M004,2026-01-11,62.9,87,95,4.6,45.0,0.366,3.37,4.26
M004,2026-01-13,62.1,96,66,4.42,45.6,0.354,3.7,4.5
M004,2026-01-15,61.3,83,65,4.35,45.0,0.411,3.67,4.47
M004,2026-01-17,60.4,97,95,4.57,45.4,0.382,3.65,4.63
M004,2026-01-19,59.0,79,78,4.84,46.7,0.417,3.52,4.64
M004,2026-01-21,58.5,80,82,5.02,46.9,0.441,3.69,4.76
M004,2026-01-23,57.2,94,95,4.64,49.5,0.46,3.62,4.45
M004,2026-01-25,56.1,83,81,4.92,46.9,0.403,3.82,4.44
M004,2026-01-27,55.0,72,65,5.25,47.4,0.442,3.74,4.67
M004,2026-01-29,53.8,88,65,5.42,47.5,0.487,3.67,4.56
M004,2026-01-31,53.1,82,91,5.32,48.7,0.441,3.88,4.75
M004,2026-02-02,52.7,87,91,5.3,48.4,0.445,4.09,4.6
M004,2026-02-04,52.2,74,68,5.48,48.5,0.44,3.91,4.85
M004,2026-02-06,51.9,84,74,5.35,50.8,0.512,3.75,5.12
M004,2026-02-08,51.6,67,89,5.62,51.0,0.491,3.96,5.04
M004,2026-02-10,50.9,69,85,5.14,49.0,0.521,4.01,5.16
M004,2026-02-12,49.5,66,87,5.75,49.1,0.514,4.03,4.96
M004,2026-02-14,48.9,73,74,5.49,49.0,0.512,3.89,5.06
M004,2026-02-16,47.5,72,82,5.84,52.0,0.556,3.99,4.91
M004,2026-02-18,47.0,79,69,5.89,51.5,0.497,4.23,5.14
M004,2026-02-20,45.9,76,88,5.94,52.8,0.556,4.36,5.1
M004,2026-02-22,44.4,66,69,5.91,51.6,0.569,4.34,5.33
M004,2026-02-24,43.7,57,79,5.98,50.0,0.549,4.16,5.4
M004,2026-02-26,42.3,55,92,6.05,52.6,0.623,4.4,5.11
M004,2026-02-28,40.9,69,72,6.12,52.6,0.556,4.19,5.22
M004,2026-03-02,39.5,59,65,6.34,51.8,0.58,4.39,5.49
M004,2026-03-04,38.6,52,83,6.33,52.5,0.604,4.39,5.63
M004,2026-03-06,37.4,66,81,6.25,52.2,0.644,4.42,5.76
M004,2026-03-08,36.4,63,69,6.49,54.4,0.6,4.49,5.96
M004,2026-03-10,35.3,54,68,6.74,56.2,0.628,4.54,5.91
M004,2026-03-12,34.0,57,65,6.87,54.5,0.646,4.59,5.61
M004,2026-03-14,33.5,55,72,6.65,53.5,0.622,4.8,5.58
M004,2026-03-16,32.3,54,62,7.01,56.8,0.689,4.75,5.68
M004,2026-03-18,31.9,56,70,7.08,53.6,0.668,4.81,6.19
M004,2026-03-20,30.9,50,74,7.05,55.0,0.722,4.75,6.16
M004,2026-03-22,30.2,53,88,7.06,55.1,0.686,4.8,6.27
M004,2026-03-24,29.0,52,68,7.41,54.5,0.709,4.79,6.31
M004,2026-03-26,27.8,47,67,7.14,57.7,0.699,5.05,5.9
M004,2026-03-28,27.1,37,88,7.57,58.6,0.721,4.88,6.07
M004,2026-03-30,26.4,31,83,7.23,56.4,0.696,5.03,6.08
M005,2026-01-01,68.6,101,90,4.13,43.0,0.334,3.23,3.77
M005,2026-01-03,68.3,100,73,4.24,44.7,0.34,3.28,3.85
M005,2026-01-05,67.7,100,67,3.81,44.4,0.352,3.27,3.88
M005,2026-01-07,66.4,108,94,3.9,45.2,0.311,3.2,4.14
M005,2026-01-09,65.4,95,86,4.08,46.1,0.349,3.33,4.5
M005,2026-01-11,64.5,102,95,4.06,47.2,0.31,3.38,4.2
M005,2026-01-13,63.3,95,64,4.34,46.9,0.38,3.58,4.48
M005,2026-01-15,62.7,84,82,4.52,47.5,0.341,3.61,4.35
M005,2026-01-17,61.6,102,71,4.76,44.8,0.412,3.52,4.3
M005,2026-01-19,61.3,87,62,4.49,45.9,0.377,3.67,4.42
M005,2026-01-21,61.0,101,72,4.49,48.1,0.344,3.62,4.31
M005,2026-01-23,59.8,92,85,4.86,48.6,0.391,3.8,4.51
M005,2026-01-25,59.0,94,77,4.96,48.2,0.368,3.68,4.75
M005,2026-01-27,58.1,87,66,4.6,48.2,0.4,3.72,4.55
M005,2026-01-29,57.0,86,88,4.67,49.4,0.416,3.92,4.52
M005,2026-01-31,55.5,74,64,5.16,48.0,0.446,3.88,4.52
M005,2026-02-02,55.2,91,88,4.8,46.7,0.475,3.74,4.67
M005,2026-02-04,54.3,90,69,5.26,50.5,0.444,3.93,4.83
M005,2026-02-06,53.4,82,80,5.32,48.0,0.427,3.96,4.83
M005,2026-02-08,52.7,86,67,5.14,48.2,0.467,4.09,4.74
M005,2026-02-10,51.3,81,72,5.17,51.0,0.482,4.11,4.9
M005,2026-02-12,51.0,76,82,5.55,49.9,0.469,3.88,4.74
M005,2026-02-14,49.9,84,71,5.69,50.1,0.463,3.88,4.79
M005,2026-02-16,48.7,62,83,5.64,49.9,0.544,4.07,5.13
M005,2026-02-18,48.3,71,85,5.93,51.4,0.519,4.17,5.28
M005,2026-02-20,48.0,72,64,5.63,51.3,0.504,4.23,5.27
M005,2026-02-22,47.0,65,68,5.7,52.5,0.485,3.97,4.94
M005,2026-02-24,46.6,69,74,5.68,52.8,0.573,4.27,5.02
M005,2026-02-26,45.6,75,77,5.63,50.5,0.548,4.18,5.02
M005,2026-02-28,44.2,60,70,6.06,52.6,0.569,4.37,5.33
M005,2026-03-02,42.9,54,65,5.8,52.7,0.579,4.35,5.52
M005,2026-03-04,42.1,73,61,6.13,52.9,0.558,4.5,5.38
M005,2026-03-06,40.9,63,79,6.2,53.5,0.557,4.33,5.43
M005,2026-03-08,40.3,54,80,6.5,52.2,0.646,4.33,5.43
M005,2026-03-10,39.1,64,95,6.14,52.2,0.572,4.42,5.33
M005,2026-03-12,38.8,60,86,6.25,54.8,0.578,4.38,5.61
M005,2026-03-14,38.2,52,91,6.74,53.4,0.656,4.47,5.34
M005,2026-03-16,37.5,60,75,6.33,53.2,0.58,4.5,5.86
M005,2026-03-18,36.4,59,78,6.61,55.5,0.629,4.7,5.82
M005,2026-03-20,35.2,53,62,6.62,54.7,0.617,4.61,5.48
M005,2026-03-22,34.4,58,77,6.94,55.2,0.667,4.48,5.54
M005,2026-03-24,33.7,50,95,7.07,55.9,0.633,4.66,5.82
M005,2026-03-26,33.4,44,81,7.01,55.0,0.631,4.82,5.61
M005,2026-03-28,32.0,48,70,6.87,55.9,0.714,4.76,5.9
M005,2026-03-30,31.2,51,79,6.99,53.7,0.671,4.6,5.89
M006,2026-01-01,77.8,126,61,3.34,40.7,0.238,3.08,3.66
M006,2026-01-03,77.3,106,90,3.12,42.3,0.239,3.05,3.43
M006,2026-01-05,76.2,105,67,3.22,41.9,0.23,2.92,3.51
M006,2026-01-07,75.3,121,90,3.7,43.3,0.203,2.84,3.56
M006,2026-01-09,74.7,117,93,3.45,44.4,0.249,3.02,3.79
M006,2026-01-11,73.6,120,76,3.68,41.7,0.238,3.08,3.65
M006,2026-01-13,72.2,107,78,3.85,44.1,0.277,3.11,3.93
M006,2026-01-15,70.8,104,78,3.61,44.5,0.28,3.36,4.15
M006,2026-01-17,69.3,97,78,3.68,46.0,0.265,3.4,4.13
M006,2026-01-19,68.1,98,72,4.25,43.6,0.325,3.18,3.86
M006,2026-01-21,67.0,97,75,3.87,46.5,0.303,3.21,3.91
M006,2026-01-23,66.3,104,66,4.3,43.6,0.383,3.54,3.98
M006,2026-01-25,65.3,102,90,4.37,46.4,0.326,3.3,3.97
M006,2026-01-27,64.1,106,74,4.39,46.7,0.403,3.6,4.1
M006,2026-01-29,62.8,89,62,4.78,45.8,0.372,3.66,4.64
M006,2026-01-31,61.3,83,60,4.47,47.0,0.429,3.48,4.41
M006,2026-02-02,60.3,96,91,4.91,45.4,0.397,3.5,4.67
M006,2026-02-04,59.7,93,76,4.86,45.2,0.387,3.53,4.62
M006,2026-02-06,59.2,97,85,4.96,47.3,0.366,3.7,4.35
M006,2026-02-08,58.8,88,75,4.5,46.9,0.406,3.55,4.46
M006,2026-02-10,57.9,94,60,4.73,47.1,0.395,3.75,4.58
M006,2026-02-12,57.5,92,79,5.02,48.3,0.469,3.65,4.46
M006,2026-02-14,56.0,89,69,4.99,50.1,0.427,3.84,4.95
M006,2026-02-16,54.9,78,75,5.22,48.9,0.48,3.82,4.77
M006,2026-02-18,54.2,89,67,4.9,48.9,0.459,3.86,4.58
M006,2026-02-20,53.6,86,88,4.99,47.8,0.473,3.69,4.83
M006,2026-02-22,52.3,82,68,5.32,49.1,0.433,3.89,5.07
M006,2026-02-24,51.2,78,76,5.6,50.6,0.496,3.77,4.85
M006,2026-02-26,50.9,67,64,5.72,49.6,0.47,3.84,4.74
M006,2026-02-28,49.8,84,86,5.44,51.6,0.496,4.17,4.93
M006,2026-03-02,49.5,81,68,5.63,49.5,0.472,4.03,5.04
M006,2026-03-04,48.4,69,60,5.78,52.4,0.512,4.15,5.03
M006,2026-03-06,47.7,68,75,5.66,49.3,0.492,4.24,5.27
M006,2026-03-08,47.5,74,61,5.55,49.0,0.535,4.08,5.23
M006,2026-03-10,46.1,66,62,5.75,50.1,0.51,4.3,4.93
M006,2026-03-12,45.3,66,74,6.07,52.3,0.529,4.23,5.34
M006,2026-03-14,44.7,65,69,6.22,51.7,0.545,4.12,5.3
M006,2026-03-16,43.7,60,87,6.04,50.1,0.548,4.31,5.24
M006,2026-03-18,42.8,67,86,5.86,51.7,0.597,4.28,5.57
M006,2026-03-20,42.2,57,89,6.37,52.6,0.625,4.33,5.17
M006,2026-03-22,41.7,58,81,6.25,54.2,0.618,4.17,5.55
M006,2026-03-24,41.3,59,84,6.3,53.0,0.625,4.23,5.59
M006,2026-03-26,40.1,67,73,6.28,54.4,0.582,4.58,5.2
M006,2026-03-28,38.7,51,90,6.65,54.2,0.633,4.41,5.41
M006,2026-03-30,38.1,56,84,6.43,54.2,0.6,4.42,5.83
