date,atelier,usine,mtbf_heures,mttr_heures,disponibilite_pct,trs_oee_pct,performance_pct,qualite_pct,nb_alertes,nb_pannes,nb_pannes_evitees,cout_maintenance_jour_eur,economies_predictif_eur,vrms_moyen_mm_s,asset_health_index
2025-01-05,Broyage,Casablanca,300.8,7.0,97.73,88.18,93.5,96.5,0,0,0,3806.5,0.0,3.84,74.4
2025-01-05,Convoyage,Tanger,384.3,9.2,97.66,83.45,89.2,95.8,2,2,0,792.32,0.0,1.36,62.0
2025-01-06,Pomperie,Casablanca,349.6,5.1,98.56,91.67,95.2,97.7,0,0,0,1998.39,0.0,2.47,82.1
2025-01-06,Air comprimé,Tanger,401.5,4.3,98.94,91.56,95.3,97.1,0,0,0,2680.52,0.0,3.19,82.7
2025-01-06,Ventilation,Casablanca,479.0,4.2,99.13,88.74,92.1,97.2,0,0,0,1273.98,0.0,1.24,65.2
2025-01-06,Broyage,Casablanca,316.2,6.6,97.96,90.19,95.8,96.1,0,2,0,3425.36,0.0,4.22,94.6
2025-01-06,Convoyage,Tanger,424.6,7.2,98.33,90.64,93.2,98.9,0,0,1,862.42,4653.67,1.74,72.8
2025-01-07,Pomperie,Casablanca,394.4,4.2,98.95,95.6,97.0,99.6,0,1,0,2126.36,0.0,2.38,78.1
2025-01-07,Air comprimé,Tanger,408.4,9.4,97.75,91.12,96.3,96.8,0,0,0,3652.45,0.0,2.41,70.3
2025-01-07,Ventilation,Casablanca,489.6,7.0,98.59,84.91,88.7,97.1,0,0,0,1197.19,0.0,1.8,71.6
2025-01-07,Broyage,Casablanca,353.6,3.8,98.94,90.07,90.4,100.7,0,0,0,4006.08,0.0,4.39,90.7
2025-01-07,Convoyage,Tanger,459.5,7.2,98.46,85.95,88.8,98.3,0,0,0,617.73,0.0,1.87,78.8
2025-01-08,Pomperie,Casablanca,343.2,5.4,98.45,87.7,92.5,96.3,0,0,1,3579.38,3351.99,2.24,79.1
2025-01-08,Air comprimé,Tanger,384.6,1.7,99.56,96.4,98.0,98.8,0,0,2,4978.02,4905.52,3.62,82.6
2025-01-08,Ventilation,Casablanca,506.1,9.7,98.12,91.26,95.2,97.7,0,0,1,1244.03,4816.9,1.72,85.9
2025-01-08,Broyage,Casablanca,375.6,5.2,98.63,92.31,93.5,100.1,0,0,0,2848.76,0.0,4.74,100
2025-01-08,Convoyage,Tanger,406.4,8.5,97.95,84.7,88.6,97.6,0,0,0,866.04,0.0,1.74,70.2
2025-01-09,Pomperie,Casablanca,307.8,6.3,97.99,89.42,91.8,99.4,0,0,0,2555.22,0.0,2.83,82.5
2025-01-09,Air comprimé,Tanger,420.5,4.7,98.89,83.98,89.2,95.2,0,2,1,3981.87,6989.63,2.49,88.4
2025-01-09,Ventilation,Casablanca,462.6,5.6,98.8,88.88,94.5,95.2,0,0,0,1230.67,0.0,1.95,84.7
2025-01-09,Broyage,Casablanca,283.2,2.9,98.99,92.82,95.0,98.7,0,0,0,5330.32,0.0,4.16,90.2
2025-01-09,Convoyage,Tanger,430.5,5.9,98.65,94.93,97.3,98.9,0,1,1,1306.08,4207.02,1.29,87.9
2025-01-10,Pomperie,Casablanca,372.4,6.0,98.41,88.88,93.3,96.8,0,0,0,3316.24,0.0,2.81,84.8
2025-01-10,Air comprimé,Tanger,418.9,4.7,98.89,92.82,95.0,98.8,1,0,0,3447.75,0.0,2.59,80.8
2025-01-10,Ventilation,Casablanca,409.0,7.1,98.29,89.18,92.3,98.3,0,1,0,1217.21,0.0,1.76,74.1
2025-01-10,Broyage,Casablanca,361.0,3.6,99.01,87.26,88.4,99.7,1,0,0,4549.93,0.0,4.17,87.9
2025-01-10,Convoyage,Tanger,415.9,4.6,98.91,90.85,94.5,97.2,0,0,0,1240.12,0.0,1.84,97.1
2025-01-11,Pomperie,Casablanca,366.2,6.0,98.39,92.17,95.2,98.4,0,0,1,4846.27,4821.02,2.28,72.8
2025-01-11,Air comprimé,Tanger,372.4,7.3,98.08,85.52,89.8,97.1,1,0,0,1914.09,0.0,3.12,82.1
2025-01-11,Ventilation,Casablanca,484.6,5.8,98.82,88.67,96.8,92.7,0,0,0,1154.01,0.0,1.65,86.4
2025-01-11,Broyage,Casablanca,274.8,2.8,98.99,92.37,96.9,96.3,0,0,1,5816.84,2175.94,3.53,94.4
2025-01-11,Convoyage,Tanger,383.2,7.3,98.13,91.48,96.3,96.8,0,0,0,1007.35,0.0,1.9,82.6
2025-01-12,Pomperie,Casablanca,372.9,7.4,98.05,89.5,94.2,96.9,0,0,0,1667.06,0.0,2.73,77.6
2025-01-12,Air comprimé,Tanger,371.4,0.5,99.87,89.78,90.8,99.0,0,2,0,4114.94,0.0,3.11,71.3
2025-01-12,Ventilation,Casablanca,501.2,6.4,98.74,86.48,92.1,95.1,0,0,0,1853.02,0.0,1.82,87.6
2025-01-12,Broyage,Casablanca,322.5,6.9,97.91,81.96,87.2,96.0,0,0,0,3343.99,0.0,3.8,87.9
2025-01-12,Convoyage,Tanger,447.5,3.1,99.31,86.4,91.0,95.6,1,0,0,673.24,0.0,1.07,90.8
2025-01-13,Pomperie,Casablanca,348.8,7.7,97.84,84.5,89.4,96.6,1,1,0,3426.92,0.0,2.46,76.0
2025-01-13,Air comprimé,Tanger,411.0,3.8,99.08,89.02,93.3,96.3,0,0,0,3936.21,0.0,3.27,85.4
2025-01-13,Ventilation,Casablanca,413.0,7.1,98.31,87.79,91.5,97.6,0,0,0,867.89,0.0,1.82,72.5
2025-01-13,Broyage,Casablanca,353.8,4.4,98.77,86.85,91.4,96.2,0,1,0,3290.25,0.0,4.02,81.8
2025-01-13,Convoyage,Tanger,459.0,6.9,98.52,88.35,93.8,95.6,0,0,0,873.26,0.0,1.37,90.1
2025-01-14,Pomperie,Casablanca,350.4,6.5,98.18,85.93,90.6,96.6,0,0,0,2557.6,0.0,3.04,83.6
2025-01-14,Air comprimé,Tanger,407.6,5.1,98.76,92.92,97.0,97.0,0,0,0,2706.37,0.0,2.84,74.7
2025-01-14,Ventilation,Casablanca,446.3,8.4,98.15,92.01,92.0,101.9,0,1,0,726.13,0.0,1.35,97.1
2025-01-14,Broyage,Casablanca,332.5,4.1,98.78,91.13,96.3,95.8,2,0,0,3953.57,0.0,3.88,83.2
2025-01-14,Convoyage,Tanger,449.4,5.8,98.73,90.37,93.5,97.9,0,0,0,972.49,0.0,0.63,86.8
2025-01-15,Pomperie,Casablanca,405.7,4.2,98.98,90.14,93.5,97.4,1,0,0,2227.47,0.0,2.48,82.6
2025-01-15,Air comprimé,Tanger,383.5,7.3,98.13,89.86,94.8,96.6,1,0,1,1856.77,2587.02,2.77,73.6
2025-01-15,Ventilation,Casablanca,492.6,7.5,98.5,88.92,91.0,99.2,0,0,1,1489.89,4072.34,1.92,85.8
2025-01-15,Broyage,Casablanca,326.8,3.7,98.88,89.82,91.2,99.6,0,0,0,3575.1,0.0,3.95,80.0
2025-01-15,Convoyage,Tanger,471.9,7.3,98.48,85.39,89.3,97.1,3,0,0,807.83,0.0,1.44,76.1
2025-01-16,Pomperie,Casablanca,423.8,8.2,98.1,88.47,90.0,100.2,1,0,1,1576.1,4591.75,2.38,82.0
2025-01-16,Air comprimé,Tanger,406.2,7.6,98.16,86.27,93.1,94.4,0,0,0,3124.95,0.0,3.12,68.8
2025-01-16,Ventilation,Casablanca,439.5,8.1,98.19,88.54,92.3,97.7,0,0,1,1534.18,7836.89,2.05,86.9
2025-01-16,Broyage,Casablanca,331.0,6.9,97.96,87.2,94.4,94.3,0,0,0,5368.21,0.0,4.46,86.9
2025-01-16,Convoyage,Tanger,506.4,9.1,98.23,93.38,97.8,97.2,0,0,0,1076.98,0.0,2.02,91.9
2025-01-17,Pomperie,Casablanca,402.3,5.6,98.63,82.48,86.3,96.9,0,1,1,3262.18,2652.0,2.77,93.2
2025-01-17,Air comprimé,Tanger,386.5,7.0,98.22,89.86,95.3,96.0,0,0,0,4521.97,0.0,3.35,83.1
2025-01-17,Ventilation,Casablanca,467.0,3.5,99.26,86.24,90.6,95.9,0,0,0,1917.07,0.0,0.22,84.3
2025-01-17,Broyage,Casablanca,388.4,2.5,99.36,92.96,94.7,98.8,0,0,0,4023.03,0.0,4.26,88.2
2025-01-17,Convoyage,Tanger,447.5,4.5,99.0,89.61,93.7,96.6,2,0,0,1074.03,0.0,1.48,96.1
2025-01-18,Pomperie,Casablanca,341.6,3.7,98.93,90.87,94.4,97.3,0,0,1,2407.28,2706.49,3.07,69.1
2025-01-18,Air comprimé,Tanger,445.9,6.9,98.48,91.02,94.5,97.8,0,0,0,573.77,0.0,2.34,83.3
2025-01-18,Ventilation,Casablanca,397.4,9.5,97.67,86.62,92.0,96.4,0,0,0,1079.72,0.0,2.02,86.0
2025-01-18,Broyage,Casablanca,307.6,5.6,98.21,85.68,89.3,97.7,1,2,0,4352.92,0.0,4.6,70.8
2025-01-18,Convoyage,Tanger,463.2,7.9,98.32,87.36,91.7,96.9,0,0,2,576.73,5656.61,0.76,78.5
2025-01-19,Pomperie,Casablanca,417.4,6.3,98.51,89.64,94.2,96.6,0,0,0,2659.17,0.0,2.86,75.5
2025-01-19,Air comprimé,Tanger,432.0,4.2,99.04,86.9,91.3,96.1,0,1,0,3510.13,0.0,3.04,86.0
2025-01-19,Ventilation,Casablanca,480.6,8.5,98.26,91.97,97.2,96.3,0,0,0,808.21,0.0,1.98,79.9
2025-01-19,Broyage,Casablanca,310.0,5.0,98.41,84.72,89.3,96.4,0,0,1,3407.02,5524.27,3.99,89.2
2025-01-19,Convoyage,Tanger,405.8,6.2,98.5,89.77,91.6,99.5,0,0,1,955.59,4435.56,0.82,80.1
2025-01-20,Pomperie,Casablanca,353.0,6.8,98.11,88.18,91.9,97.8,0,0,0,2251.4,0.0,2.6,72.2
2025-01-20,Air comprimé,Tanger,419.4,5.9,98.61,88.33,91.5,97.9,0,0,0,4050.2,0.0,2.28,71.3
2025-01-20,Ventilation,Casablanca,475.2,5.8,98.79,91.27,93.6,98.7,0,0,0,1399.28,0.0,1.34,71.6
2025-01-20,Broyage,Casablanca,315.3,6.2,98.07,83.69,90.5,94.3,0,1,0,5139.64,0.0,3.9,61.6
2025-01-20,Convoyage,Tanger,430.8,7.5,98.29,87.36,90.6,98.1,0,1,0,1234.74,0.0,1.14,85.8
2025-01-21,Pomperie,Casablanca,369.1,6.2,98.35,86.79,89.5,98.6,3,2,0,3004.83,0.0,1.74,72.6
2025-01-21,Air comprimé,Tanger,407.7,6.1,98.53,90.33,92.6,99.0,1,2,1,5119.22,3048.85,2.9,92.1
2025-01-21,Ventilation,Casablanca,464.2,6.6,98.6,91.69,94.7,98.2,0,0,2,1079.09,4546.21,1.82,82.9
2025-01-21,Broyage,Casablanca,395.1,4.8,98.8,90.95,94.9,97.0,0,0,1,5092.05,7826.36,3.74,90.3
2025-01-21,Convoyage,Tanger,452.4,6.0,98.69,89.43,93.9,96.5,0,0,0,616.07,0.0,1.89,67.0
2025-01-22,Pomperie,Casablanca,326.7,4.1,98.76,88.17,92.9,96.1,0,0,2,1171.41,14154.15,2.24,86.2
2025-01-22,Air comprimé,Tanger,421.8,6.3,98.53,84.53,87.1,98.5,0,0,0,4028.63,0.0,2.73,72.4
2025-01-22,Ventilation,Casablanca,448.1,6.8,98.51,89.44,93.6,97.0,0,0,0,1957.21,0.0,1.61,79.4
2025-01-22,Broyage,Casablanca,285.5,4.7,98.38,85.9,92.1,94.8,2,0,0,5034.4,0.0,4.29,89.2
2025-01-22,Convoyage,Tanger,439.6,6.3,98.59,88.38,92.8,96.6,0,0,0,887.56,0.0,1.77,89.4
2025-01-23,Pomperie,Casablanca,374.5,4.3,98.86,91.17,94.3,97.8,0,0,0,3180.37,0.0,2.26,84.6
2025-01-23,Air comprimé,Tanger,371.6,7.4,98.05,92.11,99.1,94.8,0,1,0,4286.78,0.0,3.28,87.4
2025-01-23,Ventilation,Casablanca,496.0,6.6,98.69,91.89,95.5,97.5,0,0,1,1561.94,1811.22,1.17,77.7
2025-01-23,Broyage,Casablanca,262.4,4.5,98.31,89.35,93.7,97.0,0,0,0,5476.14,0.0,4.56,74.7
2025-01-23,Convoyage,Tanger,453.7,10.7,97.7,92.39,98.4,96.1,1,0,0,1064.45,0.0,1.74,98.7
2025-01-24,Pomperie,Casablanca,369.2,4.4,98.82,87.23,91.1,96.9,0,0,1,2837.92,4265.7,2.27,83.5
2025-01-24,Air comprimé,Tanger,401.3,6.3,98.45,83.51,85.6,99.1,0,0,0,4615.81,0.0,2.62,81.4
2025-01-24,Ventilation,Casablanca,482.2,7.1,98.55,87.86,92.1,96.8,0,0,0,872.54,0.0,1.58,83.1
2025-01-24,Broyage,Casablanca,327.2,2.6,99.21,89.04,93.2,96.3,0,0,1,3055.21,5790.71,4.05,96.6
2025-01-24,Convoyage,Tanger,486.0,5.4,98.9,89.59,93.1,97.3,1,1,1,942.35,7948.38,1.37,76.8
2025-01-25,Pomperie,Casablanca,406.6,5.9,98.57,91.65,94.4,98.5,0,0,0,2508.81,0.0,1.93,75.5
2025-01-25,Air comprimé,Tanger,440.4,5.1,98.86,84.78,89.7,95.6,0,0,1,1662.92,4908.88,3.02,87.1
2025-01-25,Ventilation,Casablanca,494.2,9.0,98.21,83.42,86.5,98.2,2,0,0,1533.01,0.0,2.48,87.1
2025-01-25,Broyage,Casablanca,313.8,3.5,98.9,87.35,88.5,99.8,0,0,0,5149.14,0.0,4.39,100
2025-01-25,Convoyage,Tanger,448.4,6.6,98.55,94.06,96.6,98.8,0,1,0,986.51,0.0,0.96,80.5
2025-01-26,Pomperie,Casablanca,358.1,3.4,99.06,88.79,92.6,96.8,0,1,0,3196.9,0.0,1.97,77.1
2025-01-26,Air comprimé,Tanger,391.1,5.3,98.66,89.56,93.3,97.3,0,0,0,3780.99,0.0,2.13,65.3
2025-01-26,Ventilation,Casablanca,454.7,1.4,99.69,90.36,92.3,98.2,0,0,0,953.97,0.0,2.01,98.3
2025-01-26,Broyage,Casablanca,350.5,4.6,98.7,92.48,96.2,97.4,0,1,2,3793.79,6304.01,4.03,83.1
2025-01-26,Convoyage,Tanger,411.3,7.2,98.28,91.12,94.7,97.9,0,0,0,1157.27,0.0,0.73,86.7
2025-01-27,Pomperie,Casablanca,385.0,5.7,98.54,87.55,89.2,99.6,0,0,0,2867.16,0.0,2.62,87.5
2025-01-27,Air comprimé,Tanger,427.3,6.7,98.46,86.78,90.3,97.6,0,0,2,2895.23,7897.51,3.32,97.5
2025-01-27,Ventilation,Casablanca,466.6,4.4,99.07,89.61,92.2,98.1,0,0,0,1012.07,0.0,1.67,85.7
2025-01-27,Broyage,Casablanca,323.0,3.5,98.93,88.02,90.7,98.1,1,1,0,4205.12,0.0,3.96,99.7
2025-01-27,Convoyage,Tanger,456.3,7.7,98.34,85.29,91.1,95.2,0,0,0,667.47,0.0,1.98,75.5
2025-01-28,Pomperie,Casablanca,356.6,6.7,98.16,91.85,98.5,95.0,0,0,0,3737.39,0.0,2.67,100
2025-01-28,Air comprimé,Tanger,344.0,4.1,98.82,87.87,91.2,97.5,0,0,0,3343.41,0.0,3.53,82.5
2025-01-28,Ventilation,Casablanca,482.9,8.7,98.23,86.65,91.6,96.3,0,0,0,949.39,0.0,0.87,86.6
2025-01-28,Broyage,Casablanca,321.6,3.6,98.89,81.66,86.2,95.8,0,0,0,2893.64,0.0,4.0,62.3
2025-01-28,Convoyage,Tanger,386.7,7.6,98.07,89.42,93.9,97.1,0,0,0,736.14,0.0,1.34,85.8
2025-01-29,Pomperie,Casablanca,351.6,0.8,99.77,90.77,93.6,97.2,0,1,0,2038.44,0.0,2.24,89.2
2025-01-29,Air comprimé,Tanger,432.5,4.3,99.02,86.96,91.2,96.3,0,0,1,4889.88,3900.51,3.01,83.8
2025-01-29,Ventilation,Casablanca,482.2,9.8,98.01,95.09,98.8,98.2,0,0,2,865.97,12276.7,2.74,80.2
2025-01-29,Broyage,Casablanca,329.1,8.5,97.48,87.22,93.2,96.0,1,1,0,5048.06,0.0,4.09,78.2
2025-01-29,Convoyage,Tanger,402.7,5.6,98.63,93.74,96.2,98.8,2,0,0,839.48,0.0,1.74,74.7
2025-01-30,Pomperie,Casablanca,390.3,5.0,98.74,92.18,94.3,99.0,0,1,0,2721.72,0.0,2.69,81.1
2025-01-30,Air comprimé,Tanger,448.4,10.0,97.82,91.19,96.3,96.8,2,0,0,2496.27,0.0,3.28,89.7
2025-01-30,Ventilation,Casablanca,488.0,7.4,98.51,85.37,91.7,94.5,0,0,0,1113.11,0.0,2.19,75.7
2025-01-30,Broyage,Casablanca,360.8,5.2,98.58,82.99,86.7,97.1,0,0,1,4831.53,6800.43,5.01,78.0
2025-01-30,Convoyage,Tanger,477.3,5.2,98.92,90.72,93.3,98.3,1,0,0,1060.97,0.0,1.53,85.9
2025-01-31,Pomperie,Casablanca,365.7,6.1,98.36,92.9,95.6,98.8,1,1,0,3279.3,0.0,1.92,82.1
2025-01-31,Air comprimé,Tanger,417.8,4.6,98.91,88.98,94.2,95.5,0,0,0,3959.4,0.0,2.52,72.5
2025-01-31,Ventilation,Casablanca,533.9,6.3,98.83,88.21,92.3,96.7,0,0,0,1104.8,0.0,1.38,80.3
2025-01-31,Broyage,Casablanca,384.7,5.4,98.62,85.75,89.0,97.7,0,0,0,6161.41,0.0,3.77,93.7
2025-01-31,Convoyage,Tanger,475.5,7.4,98.47,86.88,90.4,97.6,2,0,0,1042.37,0.0,1.14,89.2
2025-02-01,Pomperie,Casablanca,364.2,10.5,97.2,83.26,89.6,95.6,0,0,0,3595.75,0.0,2.93,83.8
2025-02-01,Air comprimé,Tanger,422.2,8.1,98.12,87.71,91.5,97.7,2,0,1,3158.73,3187.76,3.32,92.7
2025-02-01,Ventilation,Casablanca,471.2,7.9,98.35,98.74,100.1,100.3,2,1,0,1452.52,0.0,1.28,83.7
2025-02-01,Broyage,Casablanca,336.7,5.4,98.42,88.47,92.1,97.6,0,0,0,3611.81,0.0,4.14,67.8
2025-02-01,Convoyage,Tanger,449.3,5.6,98.77,80.75,85.7,95.4,0,0,0,643.82,0.0,2.13,87.4
2025-02-02,Pomperie,Casablanca,375.8,3.3,99.13,88.89,93.6,95.8,0,0,0,3445.63,0.0,2.96,90.2
2025-02-02,Air comprimé,Tanger,375.4,4.9,98.71,90.39,94.6,96.8,0,0,1,3301.02,5941.76,3.48,79.5
2025-02-02,Ventilation,Casablanca,495.7,4.5,99.1,91.61,96.5,95.8,0,0,0,994.73,0.0,2.02,86.1
2025-02-02,Broyage,Casablanca,381.2,5.3,98.63,88.64,94.5,95.1,0,0,0,4979.98,0.0,3.96,80.1
2025-02-02,Convoyage,Tanger,465.4,8.5,98.21,85.53,91.1,95.6,1,0,0,1329.13,0.0,1.28,96.5
2025-02-03,Pomperie,Casablanca,367.4,2.7,99.27,89.09,91.2,98.4,1,0,0,2740.91,0.0,2.54,86.8
2025-02-03,Air comprimé,Tanger,380.6,5.4,98.6,87.78,91.5,97.3,0,0,0,5436.14,0.0,3.46,79.6
2025-02-03,Ventilation,Casablanca,473.1,6.4,98.67,94.27,98.5,97.0,0,0,0,1216.35,0.0,2.52,90.5
2025-02-03,Broyage,Casablanca,322.8,5.1,98.44,90.87,94.1,98.1,0,0,0,5380.24,0.0,4.19,100
2025-02-03,Convoyage,Tanger,459.9,3.8,99.18,89.12,91.6,98.1,0,0,0,1306.58,0.0,1.55,85.5
2025-02-04,Pomperie,Casablanca,369.7,4.8,98.72,86.52,89.7,97.7,0,0,0,1703.18,0.0,2.74,82.0
2025-02-04,Air comprimé,Tanger,482.3,5.4,98.89,89.24,93.9,96.1,0,0,0,3700.95,0.0,1.95,76.5
2025-02-04,Ventilation,Casablanca,473.0,10.1,97.91,88.35,93.8,96.2,0,0,0,1329.27,0.0,1.5,84.1
2025-02-04,Broyage,Casablanca,324.7,8.4,97.48,86.5,91.2,97.3,1,0,0,5817.74,0.0,4.45,89.7
2025-02-04,Convoyage,Tanger,448.0,2.6,99.42,87.84,92.9,95.1,0,1,0,777.35,0.0,1.55,83.4
2025-02-05,Pomperie,Casablanca,382.5,3.7,99.04,89.57,95.6,94.6,0,2,0,2435.5,0.0,2.83,64.4
2025-02-05,Air comprimé,Tanger,395.4,6.5,98.38,87.73,92.6,96.3,0,0,0,4242.39,0.0,2.78,59.6
2025-02-05,Ventilation,Casablanca,483.1,7.6,98.45,96.51,101.8,96.3,0,0,0,434.5,0.0,1.88,81.1
2025-02-05,Broyage,Casablanca,321.6,2.3,99.29,89.71,92.2,98.0,0,1,2,3903.08,10670.63,4.24,77.7
2025-02-05,Convoyage,Tanger,427.7,5.4,98.75,88.09,91.3,97.7,0,0,0,962.4,0.0,1.3,93.7
2025-02-06,Pomperie,Casablanca,365.9,4.6,98.76,91.65,94.6,98.1,0,0,0,2883.64,0.0,2.56,86.0
2025-02-06,Air comprimé,Tanger,425.0,5.6,98.7,85.28,88.8,97.3,0,0,0,2490.25,0.0,3.36,83.5
2025-02-06,Ventilation,Casablanca,517.6,9.3,98.23,89.84,93.9,97.4,0,0,0,996.56,0.0,2.28,83.6
2025-02-06,Broyage,Casablanca,327.6,5.4,98.38,90.32,93.3,98.4,1,0,1,3673.06,3278.93,4.61,73.8
2025-02-06,Convoyage,Tanger,447.1,8.9,98.05,88.02,94.4,95.1,0,0,0,1384.86,0.0,2.53,80.4
2025-02-07,Pomperie,Casablanca,357.2,3.9,98.92,92.29,95.3,97.9,2,0,0,4524.67,0.0,2.28,77.4
2025-02-07,Air comprimé,Tanger,450.5,5.4,98.82,86.68,89.5,98.0,0,0,0,3321.63,0.0,3.06,72.0
2025-02-07,Ventilation,Casablanca,495.1,6.8,98.65,89.93,91.9,99.2,0,0,0,1378.1,0.0,1.81,75.6
2025-02-07,Broyage,Casablanca,319.8,3.5,98.92,91.09,93.2,98.8,2,1,0,4495.7,0.0,3.75,88.2
2025-02-07,Convoyage,Tanger,462.8,6.7,98.57,90.09,95.7,95.5,0,1,0,704.5,0.0,1.19,78.6
2025-02-08,Pomperie,Casablanca,338.0,5.1,98.51,85.28,89.9,96.3,1,0,2,1473.83,11952.71,2.85,81.6
2025-02-08,Air comprimé,Tanger,457.4,4.3,99.07,92.1,98.9,94.0,0,0,1,3165.71,7246.96,3.06,76.0
2025-02-08,Ventilation,Casablanca,466.1,4.0,99.15,89.13,92.1,97.6,0,0,0,1394.96,0.0,1.66,81.9
2025-02-08,Broyage,Casablanca,300.3,5.2,98.3,90.78,96.0,96.2,0,1,0,4386.35,0.0,4.73,77.9
2025-02-08,Convoyage,Tanger,524.8,7.9,98.52,86.36,91.6,95.7,0,0,0,841.7,0.0,1.17,80.4
2025-02-09,Pomperie,Casablanca,393.1,3.9,99.02,94.96,95.8,100.1,0,0,2,2052.57,9167.17,2.94,98.6
2025-02-09,Air comprimé,Tanger,480.6,5.6,98.85,94.55,98.2,97.4,0,0,1,4839.24,4381.41,2.36,90.3
2025-02-09,Ventilation,Casablanca,505.2,4.2,99.18,93.22,97.1,96.8,0,1,0,458.85,0.0,2.28,70.9
2025-02-09,Broyage,Casablanca,354.2,8.8,97.58,78.51,84.6,95.1,0,0,0,2348.59,0.0,3.67,76.2
2025-02-09,Convoyage,Tanger,457.6,3.6,99.22,86.9,92.0,95.2,0,0,0,1102.01,0.0,1.17,83.3
2025-02-10,Pomperie,Casablanca,426.4,4.9,98.86,90.61,94.2,97.3,0,0,0,1871.65,0.0,2.33,74.4
2025-02-10,Air comprimé,Tanger,474.8,4.8,99.0,92.03,99.0,93.9,0,0,0,3075.49,0.0,3.37,88.3
2025-02-10,Ventilation,Casablanca,518.3,4.0,99.23,90.12,95.1,95.5,0,0,0,1202.84,0.0,2.31,77.9
2025-02-10,Broyage,Casablanca,396.9,3.0,99.25,93.08,93.5,100.3,1,0,2,4221.65,9499.61,3.83,85.9
2025-02-10,Convoyage,Tanger,475.7,8.6,98.22,93.74,96.6,98.8,0,0,0,1340.98,0.0,1.98,67.3
2025-02-11,Pomperie,Casablanca,396.3,7.5,98.14,89.03,94.5,96.0,0,0,0,2390.74,0.0,2.63,65.9
2025-02-11,Air comprimé,Tanger,462.4,7.0,98.51,95.67,98.5,98.6,0,1,0,3834.48,0.0,2.79,80.4
2025-02-11,Ventilation,Casablanca,481.0,8.0,98.36,86.06,89.1,98.2,0,1,0,1429.89,0.0,1.68,77.3
2025-02-11,Broyage,Casablanca,359.1,3.7,98.98,86.88,92.1,95.3,0,0,0,3022.07,0.0,4.06,70.0
