machine_id,machine_nom,machine_type,atelier,usine,timestamp,date,v_rms_mm_s,acceleration_g,crest_factor,kurtosis,rpm,zone_iso,health_index,rul_days,degradation_score,mtbf_heures,mttr_heures,disponibilite_pct,oee_pct,trs_pct,cout_maintenance_euros,type_defaut,severite_defaut,temperature_c,pression_bar,courant_A,nb_alertes,nb_demarrages,duree_fonctionnement_h,age_machine_jours
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-02 00:00:00,2025-10-02,1.78,2.26,1.51,2.99,1481,A,95.3,172,0.067,343.0,7.4,97.9,90.3,89.1,2694,Aucun - Etat acceptable,Faible,29.6,4.8,32.5,1,31,6902,1214
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-02 02:00:00,2025-10-02,3.68,9.1,1.45,2.11,1484,B,93.9,154,0.054,381.0,7.2,98.1,76.7,74.4,1650,Aucun - Etat acceptable,Faible,29.2,4.7,32.9,0,6,25176,65
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-02 02:00:00,2025-10-02,1.51,1.46,1.63,2.44,1433,A,91.0,169,0.083,458.0,3.9,99.2,75.3,70.9,2641,Aucun - Etat acceptable,Faible,30.2,3.9,32.8,0,4,22406,1249
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-02 05:00:00,2025-10-02,0.64,1.5,1.6,1.5,1485,A,96.3,185,0.047,501.0,3.9,99.2,78.6,72.8,1300,Aucun - Etat nominal,Aucune,28.8,2.9,30.5,0,47,20856,517
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-02 06:00:00,2025-10-02,4.02,12.43,1.91,3.33,7867,B,91.3,160,0.09,409.0,3.0,99.3,81.6,80.7,602,Aucun - Etat acceptable,Faible,29.6,,157.8,0,38,27011,1342
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-02 09:00:00,2025-10-02,1.44,3.35,1.41,2.44,1466,A,94.9,155,0.053,590.0,6.3,98.9,88.2,87.0,2455,Aucun - Etat nominal,Aucune,30.1,6.0,32.2,0,32,4800,986
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-02 12:00:00,2025-10-02,3.55,8.17,1.98,3.1,1459,B,95.4,166,0.03,420.0,4.3,99.0,93.5,86.2,567,Aucun - Etat acceptable,Faible,30.7,,31.8,1,74,1212,3477
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-02 12:00:00,2025-10-02,0.43,1.13,2.06,1.61,1443,A,96.3,187,0.039,519.0,3.8,99.3,90.0,87.5,1022,Aucun - Etat nominal,Aucune,30.9,4.0,30.8,0,18,15312,1665
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-02 14:00:00,2025-10-02,1.38,1.41,1.9,2.43,1482,A,93.8,167,0.045,462.0,5.5,98.8,78.9,77.8,1317,Aucun - Etat nominal,Aucune,,5.5,30.1,0,38,23725,3324
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-02 17:00:00,2025-10-02,3.96,4.28,1.8,2.79,1463,B,95.0,160,0.047,464.0,3.7,99.2,83.5,82.0,1367,Aucun - Etat acceptable,Faible,32.1,7.3,,1,30,2610,2522
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-02 19:00:00,2025-10-02,1.91,2.67,1.58,1.56,1462,A,98.0,190,0.01,526.0,5.7,98.9,96.1,90.9,973,Aucun - Etat acceptable,Faible,,4.8,31.4,2,46,21359,2963
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-02 20:00:00,2025-10-02,0.79,1.82,1.82,2.28,1535,A,92.6,166,0.083,558.0,7.5,98.7,95.8,88.5,507,Aucun - Etat nominal,Aucune,33.3,3.4,31.7,0,57,8283,3279
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-02 22:00:00,2025-10-02,3.33,10.55,1.9,3.44,8095,B,96.2,185,0.029,442.0,5.7,98.7,94.9,87.9,947,Aucun - Etat acceptable,Faible,31.0,6.7,162.1,0,32,2993,253
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-03 02:00:00,2025-10-03,2.13,6.67,1.47,2.64,1488,A,99.9,164,0.01,395.0,2.9,99.3,90.3,86.5,1818,Aucun - Etat acceptable,Faible,30.0,5.8,,1,77,23784,1931
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-03 02:00:00,2025-10-03,3.76,8.48,2.06,2.04,1433,B,90.4,153,0.076,241.0,,97.1,79.7,77.9,385,Aucun - Etat acceptable,Faible,30.1,5.8,33.3,0,46,16054,3308
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-03 04:00:00,2025-10-03,1.08,1.22,2.06,1.63,1523,A,93.2,171,0.07,441.0,5.0,98.9,94.9,89.3,2278,Aucun - Etat nominal,Aucune,30.0,3.4,32.8,1,76,7069,3848
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-03 08:00:00,2025-10-03,2.28,2.24,1.47,2.74,1502,A,95.6,159,0.045,454.0,3.7,99.2,93.1,87.9,831,Aucun - Etat acceptable,Faible,30.5,3.8,30.5,0,11,19577,3147
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-03 09:00:00,2025-10-03,3.62,3.7,1.61,3.59,1474,B,95.2,169,0.03,452.0,4.0,99.1,92.7,90.1,1426,Aucun - Etat acceptable,Faible,30.6,7.0,30.9,1,1,17548,2743
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-03 11:00:00,2025-10-03,2.13,2.38,2.06,2.74,1469,A,93.2,170,0.058,,2.6,99.4,81.9,76.6,275,Aucun - Etat acceptable,Faible,27.9,3.5,33.8,0,67,8361,96
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-03 12:00:00,2025-10-03,0.4,0.89,1.8,2.28,1527,A,95.8,162,0.058,409.0,5.8,98.6,79.5,75.9,2139,Aucun - Etat nominal,Aucune,27.9,2.6,31.3,0,3,12413,2920
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-03 15:00:00,2025-10-03,3.72,4.52,1.2,2.84,8039,B,95.2,159,0.029,449.0,6.5,98.6,92.6,89.8,2912,Aucun - Etat acceptable,Faible,30.7,5.9,162.2,1,67,27186,753
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-03 16:00:00,2025-10-03,2.15,5.68,2.31,2.51,1453,A,95.4,158,0.028,478.0,4.4,99.1,77.4,71.6,2369,Aucun - Etat acceptable,Faible,30.9,3.4,29.8,0,8,19178,2988
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-03 19:00:00,2025-10-03,3.48,5.69,1.92,2.68,1494,B,89.2,171,0.094,414.0,3.4,99.2,78.1,76.3,227,Aucun - Etat acceptable,Faible,31.5,5.6,32.0,1,39,27239,1348
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-03 21:00:00,2025-10-03,0.75,1.39,2.04,1.57,1509,A,93.6,173,0.08,309.0,5.9,98.1,76.2,75.1,2588,Aucun - Etat nominal,Aucune,31.4,3.0,34.6,0,26,1219,2234
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-03 23:00:00,2025-10-03,2.42,6.05,1.65,2.69,1499,B,96.8,163,0.047,512.0,3.1,99.4,93.9,87.2,2212,Aucun - Etat acceptable,Faible,29.2,6.0,30.7,0,75,4556,159
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-04 02:00:00,2025-10-04,4.23,5.95,2.17,2.11,1464,B,91.8,154,0.079,,4.1,99.2,88.4,87.0,1134,Aucun - Etat acceptable,Faible,32.0,6.2,30.2,2,30,12441,1958
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-04 03:00:00,2025-10-04,1.76,1.85,1.7,2.26,1467,A,95.9,179,0.058,453.0,5.8,98.7,83.1,76.8,351,Aucun - Etat acceptable,Faible,31.6,5.7,29.4,0,62,17720,1655
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-04 06:00:00,2025-10-04,0.66,1.98,2.04,2.28,1482,A,95.4,180,0.046,468.0,4.8,99.0,95.1,89.9,212,Aucun - Etat nominal,Aucune,28.6,3.1,32.2,1,19,20885,371
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-04 08:00:00,2025-10-04,3.41,6.84,1.6,2.57,7921,B,93.7,171,0.057,585.0,4.6,99.2,93.5,89.9,918,Aucun - Etat acceptable,Faible,29.1,6.4,160.7,0,37,26322,860
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-04 08:00:00,2025-10-04,1.94,2.82,1.73,2.53,1508,A,92.6,153,0.064,319.0,6.2,98.1,74.0,68.6,2776,Aucun - Etat acceptable,Faible,30.2,5.5,34.2,1,45,19722,481
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-04 10:00:00,2025-10-04,4.12,7.31,1.7,2.54,1520,B,90.2,164,0.079,469.0,4.8,99.0,94.6,92.4,2089,Aucun - Etat acceptable,Faible,28.9,5.2,,0,11,18739,2338
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-04 12:00:00,2025-10-04,1.05,1.59,1.2,2.99,1479,A,95.7,175,0.044,530.0,6.6,98.8,90.0,85.3,1931,Aucun - Etat nominal,Aucune,28.5,3.0,34.1,1,69,27551,3954
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-04 15:00:00,2025-10-04,2.65,3.87,2.4,2.86,1465,B,93.9,163,0.046,396.0,6.5,98.4,79.5,76.7,604,Aucun - Etat acceptable,Faible,28.6,5.3,33.5,0,61,19865,3659
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-04 17:00:00,2025-10-04,3.99,8.98,1.67,2.37,1437,B,93.3,166,0.076,368.0,,98.4,95.3,90.3,2861,Aucun - Etat acceptable,Faible,31.0,4.7,29.4,0,80,24285,3608
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-04 18:00:00,2025-10-04,2.11,4.84,1.2,2.32,1448,A,98.6,190,0.022,356.0,7.0,98.1,91.6,88.7,251,Aucun - Etat acceptable,Faible,29.4,5.1,30.8,0,48,3804,1070
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-04 21:00:00,2025-10-04,0.71,2.21,2.38,2.85,1518,A,93.4,168,0.08,,3.9,99.2,85.6,80.1,638,Aucun - Etat nominal,Aucune,30.6,3.0,33.2,1,6,5032,2960
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-04 23:00:00,2025-10-04,3.65,9.89,2.21,1.5,8134,B,92.4,174,0.065,387.0,6.5,98.3,75.2,70.8,2694,Aucun - Etat acceptable,Faible,31.9,5.7,166.0,1,41,10123,2971
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-05 01:00:00,2025-10-05,2.35,7.51,1.81,3.11,1459,B,96.0,181,0.043,300.0,4.0,98.7,83.1,77.0,489,Aucun - Etat acceptable,Faible,28.7,3.6,31.0,0,67,945,2011
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-05 02:00:00,2025-10-05,4.11,3.46,1.89,2.81,1526,B,93.1,160,0.087,411.0,5.7,98.6,96.2,94.5,160,Aucun - Etat acceptable,Faible,32.2,7.2,36.0,1,71,25011,3962
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-05 06:00:00,2025-10-05,0.84,0.77,1.65,2.29,1476,A,94.0,176,0.076,521.0,7.6,98.6,96.5,90.0,2616,Aucun - Etat nominal,Aucune,31.2,3.0,33.6,0,72,5475,1963
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-05 06:00:00,2025-10-05,2.37,6.88,1.62,2.31,1488,B,94.3,161,0.074,395.0,3.9,99.0,74.4,72.1,1349,Aucun - Etat acceptable,Faible,31.5,4.9,30.2,0,76,9787,1002
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-05 08:00:00,2025-10-05,4.24,10.12,1.91,3.26,1483,B,90.5,159,0.101,553.0,7.2,98.7,93.7,90.9,512,Aucun - Etat acceptable,Faible,31.5,4.8,,1,30,15670,455
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-05 11:00:00,2025-10-05,1.96,2.65,2.27,2.67,1456,A,96.2,170,0.042,451.0,,99.1,88.8,85.1,824,Aucun - Etat acceptable,Faible,30.1,3.4,30.5,0,62,2235,601
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-05 14:00:00,2025-10-05,0.71,1.08,1.92,2.32,1485,A,98.6,187,0.01,507.0,7.2,98.6,96.4,93.3,865,Aucun - Etat nominal,Aucune,29.2,5.0,29.8,0,5,15214,3024
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-05 16:00:00,2025-10-05,3.75,7.02,1.37,1.5,8044,B,96.0,185,0.032,477.0,3.8,99.2,77.4,75.9,2945,Aucun - Etat acceptable,Faible,30.9,4.0,164.5,3,68,6426,3358
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-05 17:00:00,2025-10-05,2.0,1.75,1.91,1.87,1523,A,95.2,163,0.035,517.0,3.6,99.3,76.6,71.3,1200,Aucun - Etat acceptable,Faible,30.7,5.2,31.1,0,59,21657,2976
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-05 19:00:00,2025-10-05,4.18,3.35,2.41,3.48,1490,B,93.6,164,0.064,457.0,4.0,99.1,92.5,87.1,2918,Aucun - Etat acceptable,Faible,30.1,4.1,30.8,0,37,26943,2088
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-05 20:00:00,2025-10-05,0.83,0.96,1.94,2.58,1452,A,95.0,183,0.058,427.0,5.6,98.7,74.2,70.0,151,Aucun - Etat nominal,Aucune,31.5,2.7,33.2,0,65,16325,2948
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-05 23:00:00,2025-10-05,2.18,5.93,1.65,2.28,1488,A,96.6,160,0.05,552.0,5.9,98.9,81.0,79.8,1863,Aucun - Etat acceptable,Faible,32.1,5.3,33.7,1,74,14195,237
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-06 01:00:00,2025-10-06,3.99,8.23,2.32,2.56,1486,B,92.3,169,0.075,418.0,2.7,99.4,78.2,72.1,811,Aucun - Etat acceptable,Faible,32.0,5.7,30.7,0,60,7036,2012
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-06 04:00:00,2025-10-06,1.49,2.85,1.92,2.82,1465,A,91.9,153,0.091,451.0,5.5,98.8,85.8,82.5,1423,Aucun - Etat nominal,Aucune,32.4,5.3,31.7,2,41,18578,215
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-06 05:00:00,2025-10-06,0.34,0.96,1.34,2.87,1458,A,91.7,159,0.073,357.0,7.8,97.9,77.5,75.9,702,Aucun - Etat nominal,Aucune,30.8,3.7,31.7,0,1,4614,867
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-06 06:00:00,2025-10-06,3.5,10.95,2.04,1.88,8110,B,96.4,181,0.032,403.0,7.4,98.2,83.6,78.8,1778,Aucun - Etat acceptable,Faible,28.9,4.9,166.4,0,19,6695,1736
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-06 08:00:00,2025-10-06,1.89,4.26,1.41,2.75,1415,A,93.6,176,0.068,508.0,7.3,98.6,78.6,72.9,2531,Aucun - Etat acceptable,Faible,30.1,6.2,28.5,0,69,11524,3858
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-06 12:00:00,2025-10-06,3.83,7.73,2.2,2.93,1509,B,95.6,169,0.038,386.0,3.2,99.2,77.7,76.6,1041,Aucun - Etat acceptable,Faible,31.4,6.3,35.7,0,7,23996,3453
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-06 13:00:00,2025-10-06,0.71,2.0,1.87,2.58,1490,A,90.2,154,0.113,446.0,6.7,98.5,76.4,74.5,2137,Aucun - Etat nominal,Aucune,28.4,4.7,31.8,1,65,5905,733
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-06 15:00:00,2025-10-06,2.31,6.65,1.72,2.25,1489,B,96.6,163,0.027,512.0,6.7,98.7,92.1,87.5,1504,Aucun - Etat acceptable,Faible,,4.5,31.3,1,64,5606,2220
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-06 16:00:00,2025-10-06,4.37,9.23,1.29,2.62,1478,B,91.9,158,0.085,468.0,5.0,98.9,82.8,81.2,1623,Aucun - Etat acceptable,Faible,30.7,5.4,32.2,0,36,12363,1793
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-06 20:00:00,2025-10-06,2.12,4.49,2.06,2.99,1519,A,94.8,165,0.032,495.0,3.8,99.2,95.6,88.4,938,Aucun - Etat acceptable,Faible,30.4,,31.4,0,67,7951,402
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-06 21:00:00,2025-10-06,1.04,1.62,1.61,3.26,1503,A,96.2,182,0.039,354.0,3.2,99.1,93.9,91.6,2356,Aucun - Etat nominal,Aucune,29.1,4.5,31.3,1,6,27221,1438
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-06 22:00:00,2025-10-06,3.77,11.62,2.16,2.69,7971,B,94.2,162,0.064,422.0,7.5,98.3,91.1,87.4,1008,Aucun - Etat acceptable,Faible,28.4,6.6,160.8,1,73,24184,175
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-07 02:00:00,2025-10-07,1.91,2.3,2.44,2.82,1492,A,95.4,171,0.039,442.0,3.8,99.1,79.0,76.2,1118,Aucun - Etat acceptable,Faible,32.2,4.7,34.8,0,17,26953,3475
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-07 02:00:00,2025-10-07,3.67,9.04,2.04,2.52,1431,B,88.0,151,0.11,517.0,4.7,99.1,82.7,78.1,857,Aucun - Etat acceptable,Faible,,5.4,33.5,1,31,15284,2853
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-07 05:00:00,2025-10-07,1.21,2.3,2.06,1.75,1440,A,95.0,175,0.032,456.0,5.6,98.8,95.9,89.4,2484,Aucun - Etat nominal,Aucune,29.0,4.0,30.9,1,15,10923,3749
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-07 08:00:00,2025-10-07,2.39,3.26,1.47,2.34,1516,B,94.7,175,0.037,498.0,7.3,98.6,87.7,83.8,1673,Aucun - Etat acceptable,Faible,29.0,5.7,30.5,0,65,19592,370
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-07 09:00:00,2025-10-07,4.15,7.28,2.16,3.88,1446,B,87.2,146,0.131,451.0,5.6,98.8,83.0,79.3,710,Aucun - Etat acceptable,Faible,31.6,5.4,34.1,3,72,13486,1458
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-07 12:00:00,2025-10-07,2.07,5.1,1.81,2.5,1512,A,94.1,178,0.059,504.0,3.3,99.3,95.0,92.9,2680,Aucun - Etat acceptable,Faible,27.6,4.4,31.0,0,7,3764,3071
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-07 12:00:00,2025-10-07,0.78,0.86,1.78,2.83,1484,A,95.7,162,0.023,487.0,2.6,99.5,88.4,83.6,2484,Aucun - Etat nominal,Aucune,29.0,5.9,30.0,2,20,6248,1209
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-07 15:00:00,2025-10-07,3.6,4.42,2.08,3.26,7872,B,93.7,157,0.067,506.0,5.4,98.9,83.9,78.0,1747,Aucun - Etat acceptable,Faible,27.8,6.1,159.2,0,13,10756,2074
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-07 17:00:00,2025-10-07,2.15,4.73,1.49,2.0,1497,A,98.1,186,0.01,511.0,7.9,98.5,92.0,90.8,313,Aucun - Etat acceptable,Faible,27.9,5.3,32.4,0,25,11549,1761
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-07 19:00:00,2025-10-07,3.94,10.14,1.27,2.6,1453,B,93.1,167,0.088,,6.9,98.6,75.7,71.1,391,Aucun - Etat acceptable,Faible,31.9,4.1,34.4,0,74,17959,2803
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-07 20:00:00,2025-10-07,0.58,0.68,1.85,2.54,1531,A,95.5,180,0.055,455.0,6.1,98.7,92.2,85.5,1818,Aucun - Etat nominal,Aucune,26.3,3.9,35.6,3,57,9764,2427
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-07 23:00:00,2025-10-07,2.28,3.28,1.98,3.16,1442,A,96.0,173,0.03,437.0,7.8,98.2,84.5,83.0,1951,Aucun - Etat acceptable,Faible,29.8,5.9,30.3,1,52,7103,2428
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-08 01:00:00,2025-10-08,4.22,5.64,1.72,2.31,1421,B,84.2,151,0.149,383.0,,98.1,88.8,84.8,2310,Aucun - Etat acceptable,Faible,29.7,7.0,33.6,2,12,7965,2738
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-08 03:00:00,2025-10-08,2.52,6.43,2.0,3.09,1485,B,97.6,170,0.015,553.0,3.1,99.4,90.2,83.6,1636,Aucun - Etat acceptable,Faible,30.5,5.0,33.9,1,60,2176,2773
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-08 06:00:00,2025-10-08,0.99,2.87,1.27,3.14,1500,A,95.3,171,0.06,376.0,6.6,98.3,93.7,88.0,1656,Aucun - Etat nominal,Aucune,31.9,3.2,32.8,1,26,12129,3014
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-08 06:00:00,2025-10-08,3.56,7.33,1.87,2.62,8082,B,93.4,172,0.059,422.0,7.3,98.3,96.3,91.1,1554,Aucun - Etat acceptable,Faible,28.8,6.0,165.6,0,25,2628,3843
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-08 08:00:00,2025-10-08,2.04,5.9,1.45,3.4,1482,A,95.4,175,0.048,430.0,5.8,98.7,89.4,87.3,2356,Aucun - Etat acceptable,Faible,28.5,5.5,33.4,1,63,11058,461
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-08 10:00:00,2025-10-08,4.32,6.85,1.73,2.79,1494,B,90.6,168,0.105,395.0,3.5,99.1,88.9,84.9,1220,Aucun - Etat acceptable,Faible,33.4,4.6,32.8,1,8,13689,3501
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-08 12:00:00,2025-10-08,0.6,0.52,1.46,2.57,1426,A,94.4,163,0.071,441.0,3.7,99.2,83.0,79.0,2153,Aucun - Etat nominal,Aucune,29.7,4.0,,0,38,5905,3008
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-08 14:00:00,2025-10-08,2.67,2.18,1.72,2.0,1478,B,93.4,173,0.049,443.0,3.9,99.1,80.0,78.7,781,Aucun - Etat acceptable,Faible,29.7,6.7,31.4,0,76,17765,1609
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-08 16:00:00,2025-10-08,4.05,12.04,1.98,2.92,1446,B,91.2,156,0.069,388.0,6.2,98.4,95.6,91.7,2396,Aucun - Etat acceptable,Faible,33.6,6.8,33.0,0,20,20854,1783
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-08 18:00:00,2025-10-08,2.1,4.01,1.82,2.67,1455,A,95.6,174,0.052,400.0,6.3,98.4,86.1,85.1,722,Aucun - Etat acceptable,Faible,29.8,6.1,,0,48,21808,1663
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-08 21:00:00,2025-10-08,0.94,1.08,1.67,1.94,1499,A,91.7,161,0.065,,5.3,98.8,92.4,88.0,1877,Aucun - Etat nominal,Aucune,30.0,3.7,34.4,0,67,13971,2291
