date,atelier,mtbf_heures,mttr_heures,disponibilite_pct,oee_pct,trs_pct,nb_pannes,nb_alertes,cout_maintenance_euros,economies_predictif_euros,performance_pct,qualite_pct
2026-01-22,B,425,3.5,85.8,84.9,63.7,2,0,405,4785,89.1,99.6
2026-01-23,E,390,2.8,91.6,88.0,63.9,0,3,1853,982,97.9,97.8
2026-01-24,E,502,2.7,86.1,82.7,77.8,2,4,1036,2573,84.5,97.0
2026-01-25,C,467,3.9,94.8,67.0,74.8,4,1,500,4404,84.0,96.3
2026-01-26,C,367,6.5,89.8,69.3,85.3,5,4,2366,64,92.7,97.8
2026-01-27,A,384,3.7,96.6,85.0,66.4,2,3,1604,1667,93.1,99.3
2026-01-28,E,475,3.6,96.8,66.4,79.8,2,0,214,2732,94.7,98.2
2026-01-29,C,391,5.8,92.2,76.5,62.3,0,2,2434,295,95.9,97.9
2026-01-30,B,460,3.1,89.0,89.3,84.3,0,5,1060,2044,92.7,96.8
2026-01-31,E,454,6.9,94.7,90.0,68.6,1,2,1888,203,83.4,99.6
2026-02-01,D,521,6.4,95.5,72.2,84.0,0,6,358,3855,84.2,99.1
2026-02-02,D,439,3.9,95.3,71.1,62.7,1,6,1544,2282,96.4,99.8
2026-02-03,C,439,5.4,90.2,91.5,77.0,0,1,1269,1462,91.0,99.9
2026-02-04,A,377,5.2,89.5,86.2,74.2,4,1,1777,4723,83.6,95.2
2026-02-05,D,350,4.8,95.5,83.5,88.3,5,3,1691,3533,81.3,98.3
2026-02-06,C,509,3.9,96.0,84.4,70.4,2,6,1536,3296,93.2,97.8
2026-02-07,B,457,5.5,89.9,85.2,66.9,4,4,1863,4488,95.8,96.5
2026-02-08,B,460,6.0,92.9,73.7,74.4,5,3,2293,3876,95.1,99.8
2026-02-09,B,518,2.9,91.7,82.1,71.4,1,4,1120,1631,82.8,95.2
2026-02-10,D,506,6.3,85.9,76.2,79.6,1,6,2224,3273,84.6,98.3
2026-02-11,A,542,6.4,96.5,86.0,68.1,5,8,2102,411,90.6,99.6
2026-02-12,A,466,3.1,91.0,79.3,77.6,2,7,2267,3495,95.8,97.7
2026-02-13,B,540,6.4,90.9,85.3,85.5,2,8,2184,1959,85.2,95.4
2026-02-14,C,410,3.7,89.2,79.6,65.9,1,6,825,1752,81.2,97.0
2026-02-15,E,469,4.4,87.7,76.3,87.3,4,0,1758,3907,80.1,96.8
2026-02-16,D,457,4.9,94.6,86.6,87.1,3,3,1317,3570,89.2,96.9
2026-02-17,D,535,3.2,91.1,68.4,79.4,0,6,311,687,92.2,95.7
2026-02-18,D,396,2.7,89.9,70.7,71.2,3,4,1926,2066,95.9,97.4
2026-02-19,E,363,7.0,89.5,82.6,83.9,5,0,327,2025,83.8,95.1
2026-02-20,B,411,3.1,93.7,80.2,68.1,5,4,1710,1374,91.5,99.8
2026-02-21,A,549,6.2,97.5,67.9,62.7,2,6,1824,1624,81.4,98.5
2026-02-22,B,376,5.6,88.9,83.5,84.6,4,0,1622,4364,88.1,96.9
2026-02-23,E,515,4.0,96.0,87.2,65.0,2,7,826,3567,83.3,97.6
2026-02-24,C,507,6.1,92.0,78.1,74.2,5,4,1520,2011,95.8,95.4
2026-02-25,D,412,5.9,92.4,83.0,71.4,3,5,944,3994,84.0,99.0
2026-02-26,C,421,6.5,94.1,72.5,62.3,1,1,1188,3329,89.3,98.8
2026-02-27,D,515,5.7,90.8,65.5,70.2,3,3,1454,4764,87.0,97.8
2026-02-28,C,458,7.0,92.2,74.5,74.7,2,4,1144,988,93.7,96.6
2026-03-01,E,545,5.6,87.5,84.9,69.7,4,8,1359,823,95.8,96.5
2026-03-02,C,395,3.9,94.2,68.4,63.3,0,8,1396,1034,92.1,98.8
2026-03-03,A,353,5.1,91.1,76.9,67.2,0,4,2156,934,95.6,97.0
2026-03-04,A,497,5.3,85.7,69.0,77.8,2,1,1216,970,90.6,97.1
2026-03-05,E,508,3.5,91.8,77.2,74.4,4,6,1450,4658,91.8,98.0
2026-03-06,A,545,3.4,87.7,82.8,66.4,1,8,507,1282,80.1,97.3
2026-03-07,E,470,3.8,88.0,84.1,81.7,3,1,1156,2167,95.0,98.1
2026-03-08,B,458,3.0,87.9,69.0,69.4,1,1,444,1359,95.1,98.0
2026-03-09,E,423,4.5,91.1,73.2,73.3,2,8,2411,4045,88.3,98.0
2026-03-10,D,538,4.0,88.3,67.5,88.9,4,0,1303,4720,80.8,98.8
2026-03-11,D,482,5.4,96.9,69.9,78.4,5,7,573,3850,86.6,96.7
2026-03-12,A,391,4.0,94.0,72.8,88.5,4,0,2062,721,86.0,96.6
2026-03-13,D,481,6.2,85.0,88.5,74.9,0,3,2323,2963,91.8,97.5
2026-03-14,D,544,2.7,88.5,68.5,70.1,5,7,697,236,98.5,98.0
2026-03-15,B,531,3.2,92.2,79.9,64.6,0,7,681,1261,89.5,98.6
2026-03-16,E,530,3.7,95.9,91.5,68.8,4,2,1771,1561,97.5,97.5
2026-03-17,B,367,3.7,95.3,76.2,88.2,4,4,210,2317,93.8,99.2
2026-03-18,E,518,4.7,86.9,79.5,71.7,4,8,1745,3730,97.7,99.3
2026-03-19,B,496,4.2,96.1,76.1,70.9,3,6,1781,1246,89.4,95.2
2026-03-20,E,501,4.0,86.3,87.8,64.8,3,0,790,3358,96.5,99.8
2026-03-21,A,470,6.0,88.4,81.8,73.1,0,5,2385,3113,98.1,98.1
2026-03-22,D,488,2.7,85.9,82.0,87.8,1,1,1977,806,94.4,98.5
2026-03-23,A,463,3.2,88.9,65.8,71.1,0,4,1668,3070,88.2,96.2
2026-03-24,D,494,5.6,87.3,69.7,79.1,3,3,2238,4777,82.7,97.3
2026-03-25,C,467,3.6,85.1,86.7,87.2,5,8,847,605,88.4,96.7
2026-03-26,E,426,5.4,90.5,71.8,85.7,1,6,2179,873,84.5,97.9
2026-03-27,E,425,7.0,88.8,91.4,80.4,2,0,400,4967,94.2,99.2
2026-03-28,C,548,6.1,92.9,74.5,79.8,4,4,760,795,97.2,98.2
2026-03-29,C,462,2.7,89.7,68.5,87.5,2,6,919,1644,82.5,97.7
2026-03-30,C,485,4.8,88.5,69.4,87.6,3,4,1587,943,88.9,95.4
2026-03-31,B,523,5.8,97.7,91.1,84.5,2,1,1816,114,85.0,95.6
2026-04-01,C,522,5.9,88.4,75.3,79.9,2,1,1157,3862,80.5,99.4
2026-04-02,E,433,6.6,87.9,66.7,85.1,5,4,1872,955,82.7,99.7
2026-04-03,C,476,3.0,88.1,79.5,72.9,2,8,1916,4811,94.1,95.8
2026-04-04,D,517,2.9,91.4,76.0,88.6,0,5,1089,3632,88.4,96.2
2026-04-05,C,375,6.9,89.8,89.3,80.1,0,6,1330,1554,98.4,99.7
2026-04-06,D,373,5.5,93.3,81.1,62.6,2,3,715,4625,83.9,99.1
2026-04-07,E,403,5.1,95.6,71.3,83.7,4,0,1335,1185,98.8,97.7
2026-04-08,B,378,5.5,85.3,65.4,84.1,1,5,264,1427,85.0,95.6
2026-04-09,D,484,3.0,85.8,77.1,72.1,4,1,2051,4127,84.2,98.1
2026-04-10,E,427,4.6,97.5,66.6,75.4,3,6,642,4016,93.5,97.2
2026-04-11,A,432,5.2,85.9,72.4,79.7,4,5,1760,4893,90.1,97.3
2026-04-12,E,460,2.9,94.1,88.0,80.2,4,3,1961,3699,96.9,97.1
2026-04-13,D,452,4.4,86.2,76.5,80.6,2,2,2142,549,81.7,95.4
2026-04-14,D,374,5.9,89.8,68.5,63.7,4,8,1550,1001,87.8,99.4
2026-04-15,D,534,2.7,88.7,73.4,64.9,4,3,833,3950,84.3,95.5
2026-04-16,E,444,3.0,88.6,71.1,74.0,4,8,307,4988,97.7,99.1
2026-04-17,C,357,3.3,94.1,73.3,71.5,0,2,786,4639,92.5,95.3
2026-04-18,A,373,5.9,87.8,76.3,71.5,2,4,1528,4649,91.3,99.4
2026-04-19,B,390,5.9,85.6,67.2,74.4,3,7,2010,3392,85.2,98.8
2026-04-20,A,438,4.4,88.7,83.3,75.6,5,4,386,1806,87.5,98.0
2026-04-21,A,402,3.9,87.7,68.7,69.2,2,1,231,4074,94.2,95.9
2026-04-22,D,486,5.7,91.5,87.5,84.6,0,6,373,3573,80.4,99.6
2026-04-23,C,497,4.4,90.3,82.3,70.1,3,0,1530,1407,95.2,98.1
2026-04-24,C,372,4.5,86.4,76.8,73.2,0,6,1470,2781,84.2,98.9
2026-04-25,A,480,5.3,91.9,70.2,83.7,2,2,1167,842,82.8,96.0
2026-04-26,E,389,5.9,93.5,69.8,83.6,3,7,2038,4624,92.2,99.9
2026-04-27,C,510,3.9,90.7,77.7,79.7,2,0,1641,4156,81.4,97.3
2026-04-28,A,364,4.2,88.7,82.4,89.4,0,8,1774,3790,91.0,99.8
2026-04-29,A,465,6.6,92.4,70.1,78.9,4,2,453,3690,82.0,99.5
2026-04-30,C,532,2.9,93.4,66.1,81.8,3,8,2341,4995,83.0,96.9
2026-05-01,C,449,4.3,89.4,81.1,84.1,5,5,469,2700,81.8,98.4
2026-05-02,C,414,5.8,93.5,89.5,86.5,2,1,779,2865,85.9,98.3
2026-05-03,D,383,5.2,97.2,73.4,72.5,2,2,2356,765,92.3,97.1
2026-05-04,C,354,4.1,87.3,70.8,88.5,3,3,1127,1126,82.9,96.5
2026-05-05,A,479,6.0,95.9,88.9,63.1,2,2,1743,1263,83.1,99.2
2026-05-06,E,392,5.7,85.6,74.8,82.1,3,4,2038,1916,90.1,96.5
2026-05-07,D,399,4.2,97.3,91.6,74.9,2,6,2259,4320,88.0,95.8
2026-05-08,B,504,3.1,88.3,82.3,86.5,4,1,2313,1021,85.4,98.8
2026-05-09,C,465,6.6,86.9,76.8,88.5,1,7,1631,218,87.9,97.0
2026-05-10,C,410,4.2,86.1,71.1,70.9,0,5,798,1127,80.7,99.6
2026-05-11,D,528,6.2,94.9,77.7,79.2,0,0,1248,1766,95.9,97.7
2026-05-12,E,485,4.4,95.1,71.4,65.4,1,6,2072,514,82.1,99.5
2026-05-13,E,487,2.6,91.7,71.5,66.0,3,0,1645,1970,90.8,95.9
2026-05-14,A,484,6.9,85.9,79.2,76.2,4,8,283,3198,96.6,95.2
2026-05-15,D,445,3.6,85.2,86.3,71.7,5,1,1561,1092,80.8,97.7
2026-05-16,B,549,5.6,97.8,77.9,67.1,1,1,2074,302,85.6,95.2
2026-05-17,B,360,3.9,89.0,75.8,84.8,3,4,349,1565,85.4,99.3
2026-05-18,A,517,4.0,86.6,74.9,86.9,5,7,1783,2777,98.5,97.5
2026-05-19,D,444,6.7,91.8,86.6,82.4,0,6,939,4468,85.6,95.5
2026-05-20,C,519,3.8,90.8,84.4,66.7,3,5,2031,346,93.8,99.6
2026-05-21,E,461,3.7,97.7,90.6,64.1,5,6,1688,4203,95.2,98.4
2026-05-22,A,386,6.3,93.8,76.8,65.5,1,5,1683,3136,98.0,95.2
2026-05-23,B,523,4.5,89.8,77.0,64.2,1,8,1703,3260,86.0,96.4
2026-05-24,A,356,5.8,91.5,75.4,77.7,2,4,2027,1757,98.9,96.4
2026-05-25,D,401,3.1,96.1,77.2,87.2,3,1,1509,2846,93.5,97.7
2026-05-26,C,426,6.3,94.3,90.0,79.9,2,8,1118,994,98.7,99.0
2026-05-27,B,476,2.6,92.2,75.0,84.5,4,2,553,538,85.9,100.0
2026-05-28,D,484,4.3,90.3,80.5,65.5,2,1,2043,3816,92.9,96.7
2026-05-29,E,513,5.1,95.0,68.5,76.1,0,1,2322,1253,85.8,95.8
2026-05-30,B,438,6.8,91.7,72.7,64.2,1,8,1324,1025,91.9,98.1
2026-05-31,A,478,5.4,92.7,80.7,66.8,4,5,368,232,81.5,99.7
2026-06-01,E,417,5.4,95.0,76.2,79.9,3,8,1386,2474,89.2,99.0
2026-06-02,D,426,4.5,94.0,69.3,73.6,3,3,1593,4969,82.7,99.3
2026-06-03,C,537,6.9,89.5,75.8,83.3,4,8,634,2614,84.6,95.6
2026-06-04,D,413,3.1,85.7,90.5,86.2,3,3,854,2682,97.7,98.6
2026-06-05,B,545,3.2,97.9,77.6,86.6,3,0,568,3221,89.6,99.8
2026-06-06,B,499,4.1,85.7,78.4,86.7,5,7,1370,4396,80.2,95.5
2026-06-07,B,417,5.8,94.9,74.9,73.2,4,8,997,2969,90.5,95.4
2026-06-08,E,465,5.9,88.6,91.7,81.1,0,2,596,3226,87.1,99.9
2026-06-09,E,443,5.9,87.6,78.7,76.0,0,0,761,2728,95.3,97.6
2026-06-10,B,505,6.5,86.8,90.1,70.9,3,4,1577,4155,95.7,97.7
2026-06-11,E,426,4.6,85.2,73.9,65.1,3,4,309,4889,89.0,99.8
2026-06-12,E,497,3.5,85.7,78.0,76.7,5,6,805,1984,80.6,99.7
2026-06-13,A,398,2.6,89.1,69.1,81.3,3,8,2131,510,93.4,97.6
2026-06-14,E,433,7.0,91.2,75.2,88.8,3,8,1602,4475,86.7,98.9
2026-06-15,C,506,4.7,97.4,72.5,70.4,2,4,1049,4005,86.0,96.7
2026-06-16,C,423,3.0,93.8,75.3,89.4,2,2,1389,344,85.5,98.6
2026-06-17,C,463,5.5,94.7,70.8,85.2,2,8,1312,1124,82.1,98.7
2026-06-18,B,412,2.7,96.8,71.1,68.5,0,6,1552,3869,81.9,98.9
2026-06-19,A,490,6.9,87.1,82.6,86.7,3,7,1016,2353,86.1,98.2
2026-06-20,A,516,5.1,92.0,84.5,88.2,1,6,920,297,98.9,97.0
2026-06-21,D,397,6.7,97.5,90.0,86.5,0,4,639,2744,85.4,99.9
2026-06-22,E,484,4.7,97.2,88.0,75.1,1,1,1554,1331,93.9,98.2
2026-06-23,B,353,5.8,95.3,80.3,83.2,1,6,1951,4221,86.2,97.0
2026-06-24,A,397,6.9,91.2,90.3,62.2,3,3,2029,2187,98.1,96.5
2026-06-25,E,352,3.7,89.7,71.4,80.7,3,4,854,3321,93.0,99.6
2026-06-26,C,526,3.0,96.9,73.0,79.2,1,2,2158,1254,88.6,99.9
2026-06-27,C,456,5.7,96.9,85.4,84.5,1,3,535,4304,88.5,98.5
2026-06-28,A,494,3.0,95.8,89.4,67.7,4,2,873,2687,96.2,97.2
2026-06-29,B,533,5.1,86.2,78.8,84.6,3,2,2302,3403,88.7,95.3
2026-06-30,D,522,6.1,94.4,75.7,84.9,5,3,499,371,88.1,98.5
2026-07-01,E,365,6.7,85.9,90.2,62.9,3,2,754,3443,87.1,99.5
2026-07-02,D,446,4.2,93.9,82.9,77.1,5,5,685,1462,98.9,97.0
2026-07-03,B,536,6.9,95.9,85.4,89.4,3,8,1937,4357,87.2,96.1
2026-07-04,D,438,3.2,87.5,88.6,83.4,0,6,264,1971,83.9,95.5
2026-07-05,A,464,5.2,94.1,66.3,82.7,3,7,1159,4421,84.1,99.3
2026-07-06,A,385,4.8,88.8,87.0,82.5,2,5,1170,2472,96.6,99.9
2026-07-07,E,406,4.4,88.6,80.0,78.6,5,2,1949,4553,89.4,99.9
2026-07-08,D,484,3.9,90.4,69.0,72.5,4,7,1187,1846,85.7,98.5
2026-07-09,D,364,5.0,97.6,80.0,65.8,1,4,1032,2705,92.3,99.6
2026-07-10,C,373,4.9,95.8,66.4,72.6,4,0,498,1541,95.3,97.9
2026-07-11,E,405,4.7,96.3,74.0,88.8,0,3,978,961,94.2,98.8
2026-07-12,B,528,5.2,87.7,89.7,77.5,2,6,2109,4371,92.3,96.5
2026-07-13,C,481,6.5,91.1,86.7,82.2,2,3,1718,2563,87.9,97.8
2026-07-14,B,539,3.2,88.4,90.2,78.2,3,4,824,1607,86.3,96.9
2026-07-15,B,477,5.0,97.3,74.1,83.4,3,7,2087,1378,93.9,96.8
2026-07-16,B,534,5.0,87.4,89.0,89.7,0,8,338,608,98.0,98.3
2026-07-17,A,455,3.1,93.2,66.8,66.2,1,8,2067,3057,81.1,98.2
2026-07-18,E,473,5.5,85.2,79.4,73.5,0,8,1325,4388,98.6,95.1
2026-07-19,D,395,3.0,86.3,69.0,67.4,4,4,1651,2189,95.1,95.4
