machine_id,machine_nom,machine_type,date_installation,age_jours,heures_operation_estimees,mtbf_theorique_h,mtbf_actuel_h,derniere_panne_jours,nb_pannes_12m,v_rms_mm_s,a_rms_g,temperature_c,zone_iso,crest_factor,kurtosis,disponibilite_pct,oee_pct,asset_health_index,rul_estime_jours,rul_confiance_pct,cout_remplacement_eur,cout_horaire_arret,score_degradation,niveau_risque
V-302,Ventilateur,ventilateur,2020-01-10,2066.6,49598,15000,9679,256.0,3,6.486,2.898,59.5,C,3.98,5.96,90.1,76.6,63.6,94.1,65.1,85000,680.0,79.5,critique
V-302,Ventilateur,ventilateur,2020-01-10,2092.7,50225,15000,9449,2683.0,3,6.144,2.769,57.5,C,4.06,4.79,89.8,75.4,50.8,60.6,72.0,85000,680.0,81.8,critique
V-302,Ventilateur,ventilateur,2020-01-10,2118.9,50853,15000,9217,2602.2,2,6.794,3.024,60.9,C,4.06,5.77,89.0,74.4,62.6,59.6,69.7,85000,680.0,84.1,critique
V-302,Ventilateur,ventilateur,2020-01-10,2145.0,51481,15000,8981,556.2,3,7.278,3.23,62.3,D,4.44,6.7,90.4,75.0,50.5,69.3,54.2,85000,680.0,86.4,critique
V-302,Ventilateur,ventilateur,2020-01-10,2171.2,52109,15000,8741,395.3,3,6.615,2.875,63.2,C,4.02,6.59,90.0,73.6,49.3,59.7,73.5,85000,680.0,88.6,critique
V-302,Ventilateur,ventilateur,2020-01-10,2197.4,52737,15000,8499,1528.7,3,7.399,3.389,63.3,D,4.32,5.88,89.0,72.9,64.9,38.6,66.0,85000,680.0,90.9,critique
V-302,Ventilateur,ventilateur,2020-01-10,2223.5,53365,15000,8254,387.0,3,7.593,3.431,63.2,D,4.6,5.45,88.2,74.4,52.8,41.7,67.7,85000,680.0,93.2,critique
V-302,Ventilateur,ventilateur,2020-01-10,2249.7,53992,15000,8006,294.1,4,7.778,3.372,64.4,D,4.38,6.41,87.9,72.2,49.0,33.2,69.1,85000,680.0,95.5,critique
V-302,Ventilateur,ventilateur,2020-01-10,2275.8,54620,15000,7754,440.4,3,7.282,3.254,63.5,D,4.36,6.31,89.0,72.2,53.2,3.2,69.5,85000,680.0,97.7,critique
V-302,Ventilateur,ventilateur,2020-01-10,2302.0,55248,15000,7500,465.1,3,6.948,3.169,65.8,C,4.11,6.07,88.3,72.5,51.6,11.8,63.0,85000,680.0,100.0,critique
